Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Jake Rogers,RHB,BOS,Jack Perkins,R,42.3,3.6,,21.7,10.9
Joey Ortiz,RHB,MIL,Zebby Matthews,R,30.2,3.4,9.9,14.5,10.8
Oswald Peraza,RHB,LAA,Tyler Phillips,R,42.2,,5.2,19.6,10.7
Dane Myers,RHB,CIN,Cade Cavalli,R,29.8,6.6,,21.7,10.7
Leody Taveras,SHB,BAL,Nathan Eovaldi,R,38.1,4,,21.7,10.6
Victor Caratini,SHB,MIN,Shane Drohan,L,40.5,4.4,,20.1,10.6
Nick Fortes,RHB,TB,Logan Gilbert,R,30.1,3.8,7.2,16.4,10.6
Jorge Polanco,SHB,NYM,Carmen Mlodzinski,R,15,,,35,10.2
Steven Kwan,LHB,CLE,Noah Schultz,L,47.3,,,21.7,10.2
Rafael Flores,RHB,PIT,Zach Thornton,L,10,10,10,10,10
Chase Meidroth,RHB,CWS,Parker Messick,L,26,4.4,,23.1,9.9
Drew Gilbert,LHB,SF,Keider Montero,R,37.7,4.2,,17.9,9.7
Nick Sogard,SHB,BOS,Jack Perkins,R,32,,,25.6,9.6
Nelson Velazquez,RHB,STL,Ryan Feltner,R,17.3,10.1,,17.3,9.6
Ronald Acuna Jr.,RHB,ATL,Max Fried,L,23.4,7.7,,18,9.5
Brendan Donovan,LHB,SEA,Drew Rasmussen,R,29.7,,11.6,11.6,9.4
Ha-Seong Kim,RHB,ATL,Max Fried,L,26.2,7.7,,15.9,9.3
Alika Williams,RHB,ATH,Payton Tolle,L,27,,,26,9.2
Keibert Ruiz,SHB,WSH,Chase Petty,R,24.6,7.3,,16.7,9.2
Nasim Nuñez,SHB,WSH,Chase Petty,R,31.7,,,24,9.2
Andrew Benintendi,LHB,CWS,Parker Messick,L,40.4,,,20.3,9.1
Kyle Tucker,LHB,LAD,Merrill Kelly,R,32,,,23.5,9.1
Agustin Ramirez,RHB,MIA,George Klassen,R,17.7,8.1,8.1,8.1,9.1
Leo Rivas,SHB,SEA,Drew Rasmussen,R,43.6,5.1,,11.6,9
Isaac Paredes,RHB,HOU,Robbie Ray,L,8.1,13.4,,13.9,9
Jim Jarvis,LHB,ATL,Max Fried,L,22,11,,11,8.8
Jordan Beck,RHB,COL,Kyle Leahy,R,38.4,,,19.9,8.8
Tyler Locklear,RHB,ARI,Roki Sasaki,R,30,6.3,8.6,3.7,8.7
Mookie Betts,RHB,LAD,Merrill Kelly,R,43,,,17.3,8.6
Jose Trevino,RHB,CIN,Cade Cavalli,R,30.8,8.8,,9.8,8.6
Nathan Lukes,LHB,TOR,Zack Wheeler,R,9.7,,,30.4,8.6
Christian Vazquez,RHB,HOU,Robbie Ray,L,13,,,28.7,8.5
Trent Grisham,LHB,NYY,Tyler Mahle,R,22.3,8.6,4.6,7.5,8.5
Jeff McNeil,LHB,ATH,Payton Tolle,L,29.1,,,21.9,8.4
Jase Bowen,RHB,SD,Ronel Blanco,R,46.4,7.1,,4.8,8.3
Luke Keaschall,RHB,MIN,Shane Drohan,L,28.7,,,21.5,8.2
Carlos Cortes,LHB,ATH,Payton Tolle,L,31.1,,,19.9,8.1
Mike Yastrzemski,LHB,ATL,Max Fried,L,26.1,,,21.5,8
Alex Jackson,RHB,MIN,Shane Drohan,L,41.7,,,14.8,7.9
Jacob Young,RHB,WSH,Chase Petty,R,34.8,4.5,9.6,,7.9
César Prieto,LHB,STL,Ryan Feltner,R,25.2,11.7,,4.7,7.8
Ben Malgeri,RHB,DET,JT Brubaker,R,30.7,7.7,,7.7,7.7
Tyler Heineman,SHB,LAA,Tyler Phillips,R,31.1,,,18.5,7.7
Jacob Gonzalez,LHB,PIT,Zach Thornton,L,15.5,11.8,,7.4,7.5
Zach McKinstry,LHB,DET,JT Brubaker,R,20.3,,,20.8,7.2
Eli White,RHB,BOS,Jack Perkins,R,12.1,9.9,,9.9,7.2
Drew Romo,SHB,CWS,Parker Messick,L,28.4,,,16.4,6.9
Ceddanne Rafaela,RHB,BOS,Jack Perkins,R,30.2,,,15.2,6.8
George Lombard Jr.,RHB,NYY,Tyler Mahle,R,47.8,,,7.5,6.7
Myles Straw,RHB,TOR,Zack Wheeler,R,11.3,,,22,6.6
Tommy White,RHB,ATH,Payton Tolle,L,21.4,,,17.3,6.5
Braden Montgomery,SHB,CWS,Parker Messick,L,39.6,,,7.4,5.8
Chandler Simpson,LHB,TB,Logan Gilbert,R,17.4,,,16.2,5.8
Dominic Smith,LHB,ATL,Max Fried,L,36.9,,,7.9,5.7
Taylor Trammell,LHB,HOU,Robbie Ray,L,22.1,,,13.4,5.6
LaMonte Wade Jr.,LHB,HOU,Robbie Ray,L,54.9,,,,5.5
Luis Arraez,LHB,PHI,Jose Soriano,R,,,,20.4,5.1
Jhostynxon Garcia,RHB,PIT,Zach Thornton,L,22.5,,,11.3,5.1
Justin Crawford,LHB,PHI,Jose Soriano,R,13.7,,,14.4,5
Nathaniel Lowe,LHB,CLE,Noah Schultz,L,21.7,,,11.4,5
Nick Allen,RHB,HOU,Robbie Ray,L,48.8,,,,4.9
Garrett Stubbs,LHB,PHI,Jose Soriano,R,25.2,,,8.6,4.7
Buddy Kennedy,RHB,SF,Keider Montero,R,12.2,,,12.2,4.3
Travis d'Arnaud,RHB,LAA,Tyler Phillips,R,16.7,,,8.6,3.8
Jahmai Jones,RHB,BOS,Jack Perkins,R,13.2,,,9.9,3.8
Brian Serven,RHB,ATH,Payton Tolle,L,10.5,,,10.5,3.7
Yohel Pozo,RHB,BAL,Nathan Eovaldi,R,8.3,,,10.5,3.5
Cameron Cauley,RHB,TEX,Shane Baz,R,32.4,,,,3.2
Tristan Peters,LHB,CWS,Parker Messick,L,9,,,9,3.2
Jacob Wilson,RHB,ATH,Payton Tolle,L,4.4,,,11,3.2
Bryan De La Cruz,RHB,PHI,Jose Soriano,R,7.9,,,7.9,2.8
Andres Chaparro,RHB,WSH,Chase Petty,R,24.2,,,,2.4
Harry Ford,RHB,WSH,Chase Petty,R,,,,8.9,2.2
Héctor Rodríguez,LHB,CIN,Cade Cavalli,R,19.8,,,,2
Donovan Walton,LHB,ATH,Payton Tolle,L,19.9,,,,2
Tristan Gray,LHB,MIN,Shane Drohan,L,15,,,,1.5
Ivan Johnson,SHB,CIN,Cade Cavalli,R,11.4,,,,1.1
Alan Roden,LHB,MIN,Shane Drohan,L,8.1,,,,0.8
James Triantos,RHB,CHC,Daniel Lynch IV,L,,,,,
Angel Genao,SHB,CLE,Noah Schultz,L,,,,,
Christian Franklin,RHB,BAL,Nathan Eovaldi,R,,,,,
Eddys Leonard,RHB,SF,Keider Montero,R,,,,,
Nate Furman,LHB,SF,Keider Montero,R,,,,,
